date	fed-o	fed	type	level	status	comment
1599743216	0	0	128	10	0	
1599743306	0	0	3	9	0	Federation Name : Node0, Handle : 1 created - OK
1599743306	0	0	5	9	0	Federate "GEM5_CREATOR_FEDERATE" joins Federation "Node0"(1) with handle 1. Socket 6 - OK
1599743306	1	1	12	8	0	Label "Init" registered. Tag is "Waiting all players." - OK
1599743306	1	1	33	7	0	Publish Object Class = 4, # of att. = 3 - OK
1599743306	1	1	37	7	0	Subscribe Object Class = 3, # of att. = 3 - OK
1599743306	1	1	9	8	0	ON at time 0.000000 - OK
1599743306	1	1	8	8	0	ON at time 1.000000 - OK
1599743313	0	0	3	10	36	Federation Name : Node0, Handle : 2Node0 - Exception
1599743313	0	0	5	9	0	Federate "Display" joins Federation "Node0"(1) with handle 2. Socket 7 - OK
1599743313	1	2	33	7	0	Publish Object Class = 3, # of att. = 2 - OK
1599743313	1	2	43	6	0	Register Object Class = 3 - OK
1599743313	1	2	37	7	0	Subscribe Object Class = 4, # of att. = 2 - OK
1599743313	1	2	9	8	0	ON at time 0.000000 - OK
1599743313	1	2	8	8	0	ON at time 0.100000 - OK
1599743313	1	2	15	8	0	Label "Init" ended - OK
1599743313	1	1	15	8	0	Label "Init" ended - OK
1599743369	1	1	9	8	0	OFF - OK
1599743369	1	1	8	8	0	OFF - OK
1599743369	1	1	49	10	19	Delete ObjID = 1 - Exception
1599743369	1	1	7	9	0	Federate 1 resign federation(1) - OK
1599743369	0	0	4	10	33	< Display > - Exception
1599743370	0	0	4	10	33	< Display > - Exception
1599743370	0	0	4	10	33	< Display > - Exception
1599743370	0	0	4	10	33	< Display > - Exception
1599743381	1	2	45	10	117	ObjID = 1, Date = 3211.100000Error while sending TCP message. - NetworkError
date	fed-o	fed	type	level	status	comment
1599743404	0	0	128	10	0	
date	fed-o	fed	type	level	status	comment
1599743409	0	0	128	10	0	
1599743448	0	0	3	9	0	Federation Name : Node0, Handle : 1 created - OK
1599743448	0	0	5	9	0	Federate "GEM5_CREATOR_FEDERATE" joins Federation "Node0"(1) with handle 1. Socket 6 - OK
1599743448	1	1	12	8	0	Label "Init" registered. Tag is "Waiting all players." - OK
1599743448	1	1	33	7	0	Publish Object Class = 4, # of att. = 3 - OK
1599743448	1	1	37	7	0	Subscribe Object Class = 3, # of att. = 3 - OK
1599743448	1	1	9	8	0	ON at time 0.000000 - OK
1599743448	1	1	8	8	0	ON at time 1.000000 - OK
1599743452	0	0	3	10	36	Federation Name : Node0, Handle : 2Node0 - Exception
1599743452	0	0	5	9	0	Federate "Display" joins Federation "Node0"(1) with handle 2. Socket 7 - OK
1599743452	1	2	33	7	0	Publish Object Class = 3, # of att. = 2 - OK
1599743452	1	2	43	6	0	Register Object Class = 3 - OK
1599743452	1	2	37	7	0	Subscribe Object Class = 4, # of att. = 2 - OK
1599743452	1	2	9	8	0	ON at time 0.000000 - OK
1599743452	1	2	8	8	0	ON at time 0.100000 - OK
1599743452	1	2	15	8	0	Label "Init" ended - OK
1599743452	1	1	15	8	0	Label "Init" ended - OK
1599743760	1	1	43	6	0	Register Object Class = 4 - OK
1599743840	1	1	49	6	0	Delete ObjID = 2 - OK
1599743840	1	1	9	8	0	OFF - OK
1599743840	1	1	8	8	0	OFF - OK
1599743840	1	1	49	10	19	Delete ObjID = 1 - Exception
1599743840	1	1	7	9	0	Federate 1 resign federation(1) - OK
1599743840	0	0	4	10	33	< Display > - Exception
1599743840	1	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1599743840	1	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1599743840	1	2	34	7	0	Unpublish Object Class = 3, # of att. = 0 - OK
1599743840	1	2	34	7	0	Unpublish Object Class = 3, # of att. = 0 - OK
1599743840	1	2	49	6	0	Delete ObjID = 1 - OK
1599743840	1	2	8	8	0	OFF - OK
1599743840	1	2	7	9	0	Federate 2 resign federation(1) - OK
1599743840	0	0	1	9	0	Socket 7 - OK
1599743845	0	0	4	9	0	Federation Name "Node0" (1) destroyed - OK
1599743845	0	0	1	9	0	Socket 6 - OK
1599744510	0	0	3	9	0	Federation Name : Node0, Handle : 3 created - OK
1599744510	0	0	5	9	0	Federate "GEM5_CREATOR_FEDERATE" joins Federation "Node0"(3) with handle 1. Socket 6 - OK
1599744510	3	1	12	8	0	Label "Init" registered. Tag is "Waiting all players." - OK
1599744510	3	1	33	7	0	Publish Object Class = 4, # of att. = 3 - OK
1599744510	3	1	37	7	0	Subscribe Object Class = 3, # of att. = 3 - OK
1599744510	3	1	9	8	0	ON at time 0.000000 - OK
1599744510	3	1	8	8	0	ON at time 1.000000 - OK
1599744513	0	0	3	10	36	Federation Name : Node0, Handle : 4Node0 - Exception
1599744513	0	0	5	9	0	Federate "Display" joins Federation "Node0"(3) with handle 2. Socket 7 - OK
1599744513	3	2	33	7	0	Publish Object Class = 3, # of att. = 2 - OK
1599744513	3	2	43	6	0	Register Object Class = 3 - OK
1599744513	3	2	37	7	0	Subscribe Object Class = 4, # of att. = 2 - OK
1599744513	3	2	9	8	0	ON at time 0.000000 - OK
1599744513	3	2	8	8	0	ON at time 0.100000 - OK
1599744513	3	2	15	8	0	Label "Init" ended - OK
1599744513	3	1	15	8	0	Label "Init" ended - OK
1599744840	3	1	43	6	0	Register Object Class = 4 - OK
1599744920	3	1	49	6	0	Delete ObjID = 2 - OK
1599744920	3	1	9	8	0	OFF - OK
1599744920	3	1	8	8	0	OFF - OK
1599744920	3	1	49	10	19	Delete ObjID = 1 - Exception
1599744920	3	1	7	9	0	Federate 1 resign federation(3) - OK
1599744920	0	0	4	10	33	< Display > - Exception
1599744921	3	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1599744921	3	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1599744921	3	2	34	7	0	Unpublish Object Class = 3, # of att. = 0 - OK
1599744921	3	2	34	7	0	Unpublish Object Class = 3, # of att. = 0 - OK
1599744921	3	2	49	6	0	Delete ObjID = 1 - OK
1599744921	3	2	8	8	0	OFF - OK
1599744921	3	2	7	9	0	Federate 2 resign federation(3) - OK
1599744921	0	0	1	9	0	Socket 7 - OK
1599744926	0	0	4	9	0	Federation Name "Node0" (3) destroyed - OK
1599744926	0	0	1	9	0	Socket 6 - OK
